LIN,CODIGO,RAMO,NOM_ART,TAM,PRES,UNIDAD,CCJ_CON,CCJ_SIN,CU_CON,CU_SIN,PREV_CON,PREV_SIN,FECH_AN,FECH_AC,IVA,GAN,EXIS,UBICA,STK,PROV,SI
ABA,7501035910065,LIMPIADOR,AJAX 388 GR BOTE AZUL,388 GS,1,BOTELLA,7.70,6.70,7.70,6.70,9.50,8.26,12/03/2009,12/03/2009,16,23.4,8,,0,GARIS,
ABA,7501035910072,LIMPIADOR,AJAX 388.BICLORO VERDE,388 G,1,BOTE,10.50,9.05,10.50,9.05,13.20,11.38,21/12/2010,24/01/2011,16,25.7,3,,2,GARIS,
FAR,7501048333059,ALCOHOL,ALCOHOL PROTEC AZUL 200 ML,200 ML,24,BOTELLA,200.00,172.41,8.33,7.18,11.00,9.48,26/01/2011,26/01/2011,16,32.0,7,,0,GARIS,
PER,7501048333158,,ALCOHOL PROTEC AZUL 400 M,400 ML,24,PZA,305.00,262.93,12.71,10.96,16.00,13.79,26/01/2011,26/01/2011,16,25.9,3,,2,GARIS,
FAR,7501048620050,ALGODON,ALGODON 3 G PROTEC,3 GS,100,SOBRE,52.00,45.22,0.52,0.45,1.00,0.87,27/03/2009,27/03/2009,16,92.3,-2,,1,GARIS,
PER,7501048620906,,ALGODON PROTEC 100 GS,100 G,1,PTE,14.66,12.64,14.66,12.64,19.30,16.64,26/02/2011,26/02/2011,16,31.7,31,,2,GARIS,
PER,7501048620807,,ALGODON PROTEC 50 G,50 G,1,PTE,8.50,7.33,8.50,7.33,11.00,9.48,26/02/2011,26/02/2011,16,29.4,4,,2,GARIS,
FAR,0,PASTILLA,ALKA SELTZER 100 PZA,TAB,100,TAB,0.00,126.00,0.00,1.26,0.00,2.00,26/01/2011,26/01/2011,0,58.7,100,,1,GARIS,
SEM,0,SEMILLA,ALMENDRAS 1 K,1 K,1,BOLSA,0.00,115.00,0.00,115.00,0.00,150.00,22/12/2010,22/12/2010,0,30.4,0,,1,MONTA,
SEM,21,SEMILLA,ALPISTER SIMPLE 1K,UNI,25,KQT,0.00,475.00,0.00,19.00,0.00,25.00,19/03/2011,19/03/2011,0,31.6,-104,,1,MONTA,
ABA,7501055900060,ALPURA,ALPURA 1L CHOCOL,1 L,12,TETRA,0.00,165.60,0.00,13.80,0.00,16.00,26/05/2010,26/05/2010,0,15.9,-294,,0,ALPUR,
LAC,7501055901425,ALPURA,ALPURA 1L DESLACT,1 L,24,PZA,0.00,338.40,0.00,14.10,0.00,16.00,12/01/2011,12/01/2011,0,13.5,-1678,,0,ALPUR,
ABA,7501055900077,LECHE,ALPURA 1L FRESA.,1 L,12,TETRA,0.00,165.60,0.00,13.80,0.00,16.00,11/02/2009,11/02/2009,0,15.9,-255,,0,ALPUR,
ABA,7501055900084,LECHE,ALPURA 1L VAINILLA,1 L,12,TETRA,0.00,165.60,0.00,13.80,0.00,16.00,11/02/2009,11/02/2009,0,15.9,-445,,0,ALPUR,
ABA,75002091,BEBIDA,ALPURA 250 ML VAIN,250 ML,27,TETRA,0.00,124.20,0.00,4.60,0.00,5.70,12/05/2010,12/05/2010,0,23.9,-299,,0,ALPUR,
ABA,7501055900039,LECHE,ALPURA 1L AZUL,1 L,12,TETRA,0.00,143.00,0.00,11.92,0.00,13.50,15/12/2010,15/12/2010,0,13.3,-1015,,0,ALPUR,
ABA,7501055900800,LECHE,ALPURA 1L LIGHT,1 L,12,TETRA,0.00,143.00,0.00,11.92,0.00,13.50,15/12/2010,15/12/2010,0,13.3,-898,,0,ALPUR,
ABA,7501055900046,LECHE,ALPURA 1L ROJA,1 L,12,PZA,0.00,143.00,0.00,11.92,0.00,13.50,15/12/2010,15/12/2010,0,13.3,-1175,,1,ALPUR,
ABA,7501055900718,LECHE,ALPURA 1L X CAJA/ROJA/AZUL/VERDE,12 L,1,CAJA,0.00,143.00,0.00,143.00,0.00,157.00,09/02/2011,09/02/2011,0,9.8,-10,,0,ALPUR,
ABA,7501008014028,CEREAL,ALL-BRAN 500 GR KELLOGS,500 G,1,CAJA,0.00,39.40,0.00,39.40,0.00,47.50,27/06/2010,27/06/2010,0,20.6,-22,AC1,0,GARIS,
SEM,0,SEMILLA,AMARANTO BCO,1 K,1,K,0.00,30.00,0.00,30.00,0.00,45.00,31/03/2011,31/03/2011,0,50.0,0,,0,TOMA,
ABA,706722113133,REFRESCO,AMEYAL 300 ML DUR/MANZ,300 ML,12,PZA,31.00,26.96,2.58,2.25,3.00,2.61,09/01/2008,09/01/2008,16,16.1,-21,,0,COCA,
ABA,7501055327294,REFRESCO,AMEYAL 300 ML FRESA/KIWI,300 ML,12,PZA,31.00,26.96,2.58,2.25,3.00,2.61,09/01/2008,09/01/2008,16,16.1,-35,,0,,
ABA,7501055327379,REFRESCO,AMEYAL 300 ML MANDAR,300 ML,12,PZA,31.00,26.96,2.58,2.25,3.00,2.61,09/01/2008,09/01/2008,16,16.1,-13,,0,COCA,
ABA,7501013163025,BEBIDAS,AMI 3.785 L MANZANA,3.785 L,5,PZA,101.00,87.07,20.20,17.41,24.50,21.12,06/12/2010,26/02/2011,16,21.3,-13,,0,GARIS,
ABA,7501013163131,BEBIDAS,AMI 3.785 L NARANJAS,3.785 L,5,PZ,101.00,87.07,20.20,17.41,24.50,21.12,23/12/2010,26/02/2011,16,21.3,4,,0,GARIS,
ABA,7501013163117,JUGOS,AMI 3.785 L PIÑA,3.785,5,PZA,101.00,87.07,20.20,17.41,24.50,21.12,28/03/2011,28/03/2011,16,21.3,5,,1,GARIS,
ABA,7501013163148,JUGOS,AMI 3.785 L UVA,3.785 L,5,PZA,101.00,87.07,20.20,17.41,24.50,21.12,26/02/2011,26/02/2011,16,21.3,-4,,0,GARIS,
ABA,7501013120028,,AMI 500 ML MANZANA,500 ML,18,PZA,57.00,49.14,3.17,2.73,4.00,3.45,04/04/2011,04/04/2011,16,26.3,-129,,0,GARIS,
ABA,7501013120134,,AMI 500 ML NARANJA,500 ML,18,PZA,57.00,49.14,3.17,2.73,4.00,3.45,15/02/2011,15/02/2011,16,26.3,-337,,0,GARIS,
ABA,7501013120141,,AMI 500 ML UVA,500,18,PZA,52.00,44.83,2.89,2.49,3.50,3.02,26/05/2010,26/05/2010,16,21.2,-138,,0,GARIS,
PAN,7501000135189,LARA,ANIMALITOS 180 GS,180 G,1,BOLSA,0.00,6.62,0.00,6.62,0.00,8.00,04/04/2009,04/04/2009,0,20.8,-69,,0,MARIN,
ABA,7501000629114,GALLETAS,ANIMALITOS LA MODERNA 1 K,5 K,5,KILOS,0.00,75.50,0.00,15.10,0.00,19.00,06/12/2010,06/12/2010,0,25.8,3,,0,GARIS,
SEM,24,SEMILLA,ANIS COMER 50 GR,1K,20,PQT,0.00,100.00,0.00,5.00,0.00,7.80,07/02/2011,07/02/2011,0,56.0,-1,,1,MONTA,
VIN,7501043706100,LICOR,ANIS MICO 250 ML,250 ML,1,BOTELLA,22.70,19.57,22.70,19.57,28.00,24.14,03/11/2010,03/11/2010,16,23.3,4,,1,GALLO,
FER,0,,APAGADOR TIPO QUINCIÑO 5800,,1,PZA,4.28,3.69,4.28,3.69,6.00,5.17,10/03/2010,10/03/2010,16,40.2,20,,5,EL 45,
FER,0,ELECTRICO,APAGADOR ESTERIOR CUADRADO,,1,PZA,6.50,5.60,6.50,5.60,9.00,7.76,11/03/2010,11/03/2010,16,38.5,0,,0,EL 45,
DUL,7501130931910,PALETAS,APOLO HOLANDA,,80,PZA,0.00,196.00,0.00,2.45,0.00,3.50,20/02/2009,20/02/2009,0,42.9,-103,,0,HOLAN,
VIN,7501035020108,RON,APPLETON SPECIAL ORO 950 ML,950 ML,1,BOTELLA,131.00,112.93,131.00,112.93,158.00,136.21,18/12/2010,18/12/2010,16,20.6,-14,,0,GALLO,
VIN,7501035020009,RON,APPLETON WHITE 950 ML,950 ML,1,BOTELLA,101.00,87.83,101.00,87.83,121.50,105.65,22/11/2008,22/11/2008,16,20.3,-11,,0,GALLO,
SEM,0,,ARITOS (FRUTI LUPIS) 1KG,1 K,3,K,0.00,65.00,0.00,21.67,0.00,30.00,19/03/2011,19/03/2011,0,38.5,0,,0,AMBRO,
JAR,0,,AROS P-COSTURA N.8,,12,PZA,43.00,37.07,3.58,3.09,8.00,6.90,13/10/2010,13/10/2010,16,123.3,0,,0,MARBE,
SEM,25,ARROZ,ARROZ SINALOA LARGO 1 KG,1 K,25,K,0.00,225.00,0.00,9.00,0.00,11.50,19/03/2011,19/03/2011,0,27.8,-64,,0,MONTA,
FAR,6725,PASTILLA,ASPIRINA EFERV 60 P,500 MG,60,TAB,0.00,70.00,0.00,1.17,0.00,1.50,16/02/2011,16/02/2011,0,28.6,49,,1,GARIS,
FAR,7501008496152,PASTILLA,ASPIRINA TABLETAS,500 MG,100,TAB,37.84,38.60,0.38,0.39,0.53,0.60,06/11/2010,06/11/2010,0,55.4,0,,1,GARIS,
LAC,0,MATERIA,ATE FRUTAS CHILCHOTA X KG,1 K,6,KG,0.00,135.00,0.00,22.50,0.00,32.00,14/12/2010,14/12/2010,0,42.2,-1,,1,CHILC,
ABA,7501003129161,ATUN,ATUN HERDEZ 174 GS ACEITE,174 GS,48,LATA,402.50,425.00,8.39,8.85,10.21,10.50,10/03/2011,10/03/2011,0,18.6,-303,,0,GARIS,
ABA,7501023602002,ENLATADO,ATUN NAIR 170 GS ACEITE,170 G,48,LATA,0.00,366.50,0.00,7.64,0.00,9.00,04/04/2011,04/04/2011,0,17.9,-409,AA6,0,GARIS,
ABA,36731135513,CEREAL,AVENA QUAKER BOTE 510 G,510 G,1,BOTE,89.01,20.00,14.84,20.00,18.40,24.50,10/09/2009,03/01/2011,0,22.5,2,,1,GARIS,
SEM,0,CEREAL,AVENA SUELTA 1K,1 K,20,KG,0.00,160.00,0.00,8.00,0.00,11.00,27/08/2010,27/08/2010,0,37.5,0,,1,AMBRO,
ABA,7509546018935,DETERGEN,AXION DETER 900 GS,900 GS,18,BOLSA,328.00,282.76,18.22,15.71,22.00,18.97,11/01/2011,11/01/2011,16,20.7,-64,,0,GARIS,
ABA,7509546018911,DETERGEN,AXION DETER 250 GS,250 G,48,BOLSA,230.00,198.28,4.79,4.13,5.80,5.00,16/02/2011,16/02/2011,16,21.0,-970,,1,GARIS,
VIN,7501003603081,BRANDY,AZTECA DE ORO 700 ML,700 ML,1,BOTELLA,145.00,125.00,145.00,125.00,174.00,150.00,23/02/2011,23/02/2011,16,20.0,-103,,1,GALLO,
ABA,1,BASICOS,AZUCAR ESTANDAR 1 KG,1 K,49,K,0.00,515.00,0.00,10.51,0.00,12.50,22/02/2011,22/02/2011,0,18.9,-1999,,0,GARIS,
MAT,0,PANADERIA,AZUCAR GLASS 1K,1 K,40,K,0.00,620.00,0.00,15.50,0.00,19.00,31/03/2011,31/03/2011,0,22.6,14,,0,DAMAR,
VIN,7501008611135,RON,BACARDI AÑEJO 750 ML,750 ML,1,BOTELLA,110.00,94.83,110.00,94.83,130.00,112.07,17/11/2010,17/11/2010,16,18.2,-42,,1,GALLO,
VIN,7501008611203,RON,BACARDI AÑEJO 1 L,1L,1,BOTELLA,130.00,112.07,130.00,112.07,155.00,133.62,10/07/2010,10/07/2010,16,19.2,-40,,1,GARIS,
VIN,7501008613160,RON,BACARDI BLANCO 1.750 L,1.750 L,1,BOTELLA,200.00,172.41,200.00,172.41,236.00,203.45,25/07/2010,25/07/2010,16,18.0,2,,1,GALLO,
VIN,7501008613047,RON,BACARDI BLANCO 200 ML,200 ML,1,BOTELLA,24.40,21.03,24.40,21.03,30.00,25.86,03/11/2010,03/11/2010,16,23.0,-257,,1,GALLO,
VIN,7501008613078,RON,BACARDI BLANCO 379 ML,379 ML,1,BOTELLA,45.00,38.79,45.00,38.79,54.50,46.98,18/12/2010,18/12/2010,16,21.1,-38,,1,GALLO,
VIN,7501008613122,RON,BACARDI BLANCO 750 ML,750 ML,1,BOTELLA,103.00,88.79,103.00,88.79,123.50,106.46,27/02/2011,27/02/2011,16,19.9,1,,1,GALLO,
VIN,7501008613146,RON,BACARDI BLANC0 980 LT,980 ML,1,BOTELLA,99.00,85.34,99.00,85.34,119.00,102.58,27/02/2011,27/02/2011,16,20.2,27,,1,GALLO,
VIN,7501008610121,RON,BACARDI SOLERA 750 MLS,750 ML,1,BOTELLA,150.00,129.31,150.00,129.31,180.00,155.17,17/11/2010,06/01/2011,16,20.0,3,,1,GALLO,
BAR,7501000161287,,BARCEL QUECHITOS 25 GS,25G,1,BOLSA,2.17,2.91,2.17,2.91,2.50,3.50,04/09/2007,29/12/2007,0,20.3,5,,0,BARCE,
DUL,7501000264490,BARCEL,BARCEL CHICHARRINES 80 G,80 G,1,BOLSA,0.00,7.62,0.00,7.62,0.00,9.00,07/10/2006,29/12/2007,0,18.1,24,,0,BARCE,
DUL,7501000264834,BARCEL,BARCEL CHIPOTLES 52 G,52 G,1,PZA,0.00,4.13,0.00,4.13,0.00,5.00,27/05/2009,27/05/2009,0,21.1,-572,,1,BARCE,
DUL,7501000207183,BARCEL,BARCEL CHIPS 157 G,157 G,1,BOLSA,0.00,11.70,0.00,11.70,0.00,14.00,13/12/2009,13/12/2009,0,19.7,-21,,0,BARCE,
DUL,7501000260676,BARCEL,BARCEL CHIPS 42 G ADOB,42 G,1,PZA,0.00,5.20,0.00,5.20,0.00,6.00,08/06/2006,08/06/2006,0,15.4,-128,,1,BARCE,
DUL,7501000266333,BARCEL,BARCEL CHIPS 42 G JALAP,42 G,1,PZA,0.00,5.00,0.00,5.00,0.00,6.00,08/06/2006,08/06/2006,0,20.0,-492,,1,BARCE,
DUL,7501000260669,BARCEL,BARCEL CHIPS 42 G SAL,42 G,1,PZA,0.00,5.04,0.00,5.04,0.00,6.00,20/06/2006,20/06/2006,0,19.0,-395,,1,BARCE,
DUL,7501000264568,BARCEL,BARCEL CHURRITOS 49 G,49 G,1,PZA,0.00,3.36,0.00,3.36,0.00,4.00,12/06/2007,12/06/2007,0,19.0,-128,,1,BARCE,
DUL,7501000140473,BARCEL,BARCEL KARAMELADAS 50 G,50 G,1,BOLSA,0.00,2.52,0.00,2.52,0.00,3.50,28/07/2004,28/07/2004,0,38.9,-186,,0,BARCE,
DUL,7501000207305,BARCEL,BARCEL KIYAKIS 50 G,50 G,1,BOLSA,0.00,2.50,0.00,2.50,0.00,4.00,01/01/2008,01/01/2008,0,60.0,-575,,0,BARCE,
DUL,7501000260393,BARCEL,BARCEL QUECHITOS 25 G,25 G,1,BOLSA,0.00,2.91,0.00,2.91,0.00,3.50,13/07/2006,29/12/2007,0,20.3,25,,0,BARCE,
DUL,7501000222612,BARCEL,BARCEL RUNNERS 52 G,52 G,1,BOLSA,0.00,4.13,0.00,4.13,0.00,5.00,27/05/2009,27/05/2009,0,21.1,-660,,0,BARCE,
DUL,7501000266920,BARCEL,BARCEL TAKIS 40 G,40 G,1,BOLSA,0.00,2.52,0.00,2.52,0.00,3.00,29/11/2001,29/11/2001,0,19.0,-5,,0,BARCE,
DUL,7501000264841,BARCEL,BARCEL TOSTACHOS 52 G,52 G,1,BOLSA,0.00,3.86,0.00,3.86,0.00,5.00,12/04/2009,12/04/2009,0,29.5,-232,,0,BARCE,
,7501000263424,,BARCEL XPLOSIVOS CRONCH 20 G,20G,1,BOLSA,1.60,1.38,1.60,1.38,3.50,3.02,16/03/2010,16/03/2010,16,118.8,-55,,0,BARCE,
DUL,7501000119073,MARINELA,BARRAS 39 G FRES MARINELA,39 G,1,PQT,0.00,2.80,0.00,2.80,0.00,3.50,07/06/2004,07/06/2004,0,25.0,-5,,0,MARIN,
DUL,7501000669509,GAMESA,GAMESA BARRAS COCO 106 G,106 G,1,PQT,0.00,2.92,0.00,2.92,0.00,3.50,22/08/2003,22/08/2003,0,20.0,0,,0,GAMES,
DUL,7501000133055,MARINELA,BARRITAS MARINELA C/2 FRESA,,1,PQT,0.00,4.15,0.00,4.15,0.00,5.00,30/11/2010,30/11/2010,0,20.5,-919,,0,MARIN,
DUL,7501000133031,MARINELA,BARRITAS PI A CON 2 (MARINELA),,1,PQT,0.00,4.15,0.00,4.15,0.00,5.00,21/11/2008,21/11/2008,0,20.5,-614,,0,MARIN,
JAR,0,,BATIDOR ESPIRAL DE ALAMBRE,NO 1,12,PZA,41.00,35.65,3.42,2.97,5.00,4.35,28/12/2009,28/12/2009,16,46.3,12,,2,GARIS,
,0,,BATIDOR VASCONIA P/HUEVO,,5,PZA,72.50,63.04,14.50,12.61,18.00,15.65,,02/04/2003,16,24.1,5,,6,GARIS,
CRI,27045636360,,BATIDORA MAXI-MATIC,5 V,1,PZA,235.00,202.59,235.00,202.59,300.00,258.62,11/04/2010,11/04/2010,16,27.7,0,,0,D F,
ABA,32239056077,BEBIDA,BEBERE 3.875 L MGO,3.8,6,PZA,122.00,106.09,20.33,17.68,25.50,22.17,26/07/2008,06/11/2008,16,25.4,29,,1,GARIS,
ABA,32239055308,BEBIDA,BEBERE 3.785 L MANZA,3.785,6,GARRAFA,118.00,101.72,19.67,16.95,24.00,20.69,14/05/2010,14/05/2010,16,22.0,-3,AE2,1,GARIS,
ABA,32239055261,BEBIDA,BEBERE 3.875 L NARAN,3.8,6,GARRAFA,120.00,103.45,20.00,17.24,25.50,21.98,14/05/2010,14/05/2010,16,27.5,-184,AE2,1,GARIS,
ABA,32239055223,BEBIDA,BEBERE 3.875 L UVA,3.8,6,GARRAFA,122.00,106.09,20.33,17.68,25.50,22.17,26/07/2008,26/07/2008,16,25.4,-59,AE2,1,SURTI,
ABA,32239055285,,BEBERE 473 ML CITRICOS,473 ML,24,PZA,81.70,70.43,3.40,2.93,4.30,3.71,09/12/2010,09/12/2010,16,26.3,-252,,2,SAMS,
ABA,619585008181,,BEBIN MAXI-GEL CHICO 14 PZ,CH,6,PTE,105.00,91.30,17.50,15.22,21.00,18.26,16/04/2008,17/06/2008,16,20.0,-8,,2,GARIS,
ABA,619585004312,PAÑALES,BEBIN SUPER GDE 14 PZ,14,6,PQT,197.00,169.83,32.83,28.30,39.50,34.05,05/10/2010,05/10/2010,16,20.3,2,,0,GARIS,
VIN,75016760,CIGARROS,BENSON & HEDGES DORADOS 100',20,10,PZA,0.00,351.00,0.00,35.10,0.00,39.00,21/12/2010,21/12/2010,0,11.1,-115,,0,MARLB,
VIN,75016777,CIGARROS,BENSON & HEDGES MENTOL,20,10,PZA,0.00,351.00,0.00,35.10,0.00,39.00,21/12/2010,21/12/2010,0,11.1,-171,,0,MARLB,
MER,0,COSTURA,BIES PREMIUN ALGODON,1 M,25,METRO,35.00,30.17,1.40,1.21,2.00,1.72,30/03/2011,30/03/2011,16,42.9,0,,1,MBZ,
PAN,7501000111602,BIMBO,BIMBO BIMBOLLOS 8 PZ 450 GR,8,1,PZA,0.00,16.40,0.00,16.40,0.00,20.00,04/04/2009,04/04/2009,0,22.0,-944,,1,BIMBO,
PAP,0,GENERAL,BIOGRAFIAS ESCOLARES 1/50,UNI,50,PZA,3.00,2.61,0.06,0.05,0.20,0.17,15/03/2006,15/03/2006,16,233.3,0,,0,,
ABA,7501026027550,DETERGEN,BLANCA NIEVES 250 GS,250 G,40,BOLSA,188.20,162.24,4.71,4.06,5.70,4.91,06/04/2011,06/04/2011,16,21.1,-401,,0,GARIS,
PAN,7501000122332,BIMBO,BIMBO PAN BLANCO 650 GR GDE,GD,1,PQT,0.00,17.45,0.00,17.45,0.00,21.00,31/01/2011,31/01/2011,0,20.3,-255,,1,BIMBO,
PAN,7501000120277,WONDER,WONDER PAN BLANCO 650 GR,560 G,1,PZA,0.00,16.80,0.00,16.80,0.00,20.00,28/01/2009,28/01/2009,0,19.0,-320,,1,WONDE,
PAN,7501000101092,WONDER,MULTICEREAL WONDER 475G,475,1,PQT,0.00,16.55,0.00,16.55,0.00,20.00,04/04/2009,04/04/2009,0,20.8,-40,,0,WONDE,
ABA,0,BLANQUEA,CHINITO BLANQUEADOR 1 L,1 L,12,BOTELLA,70.00,60.34,5.83,5.03,7.50,6.47,09/03/2011,09/03/2011,16,28.6,-3,,0,CHINI,
PAP,7501126364104,,BLOCK 25  H T/O 90/95 ALBANENE,90/95,1,PZA,19.30,16.64,19.30,16.64,28.00,24.14,12/01/2010,12/01/2010,16,45.1,0,,0,QUEKA,
PAP,0,BLOCK,BLOCK MARQUI ESTRELLA 20 H,25X35,1,PZA,19.29,16.63,19.29,16.63,26.00,22.42,28/03/2010,28/03/2010,16,34.8,0,,0,MARCH,
PER,7501737421159,,BODY 50 ML ROLL-0N D/ROSAS,50 ML,1,PZA,15.90,13.83,15.90,13.83,21.00,18.26,12/09/2007,12/09/2007,16,32.1,-3,,0,GARIS,
PER,7501737421173,,BODY 50 ML ROLL-0N HAWAIIAN,50 ML,1,PZA,16.50,14.35,16.50,14.35,21.00,18.26,20/07/2005,20/07/2005,16,27.3,-4,,0,GARIS,
PER,7501737421128,,BODY 50 ML ROLL-0N PEACH,50 ML,1,PZA,16.50,14.35,16.50,14.35,21.00,18.26,20/07/2005,20/07/2005,16,27.3,-2,,0,GARIS,
